,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
35,"Antwerp, Belgium",within an hour,100.0,96.0,t,host neighbourhood not available,4,"['email', 'phone']",t,"Antwerp, Flanders, Belgium",Entire rental unit,Entire home/apt,2.0,3,366,t,23,28,13,1,4.93,4.96,5.0,5.0,5.0,5.0,4.89,f,211.54794520547946,211.54794520547946,11.969559715261427,2.0,3.0,0.28,48,78,345,199.21917808219177,94.52054794520548,1.5 baths,70.51598173515983,1.5,0.0,5.6580836574116695
36,"Antwerp, Belgium",within a few hours,100.0,89.0,t,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerp, Flanders, Belgium",Entire home,Entire home/apt,1.0,2,1125,t,1,204,46,4,4.9,4.89,4.85,4.94,4.9,4.58,4.87,f,65.0,65.0,0.0,1.0,2.0,1.92,1,1,134,23.863013698630137,36.71232876712329,1 bath,32.5,2.0,0.0,0.0
37,"Antwerp, Belgium",within a day,100.0,85.0,t,host neighbourhood not available,2,"['email', 'phone', 'work_email']",t,"Antwerp, Flanders, Belgium",Entire rental unit,Entire home/apt,1.0,2,1125,t,0,35,5,0,4.71,4.85,4.79,4.94,4.91,4.67,4.61,f,65.10684931506849,65.10684931506849,0.42849364540765994,2.0,4.0,0.35,0,0,119,21.2986301369863,32.602739726027394,1 bath,16.276712328767122,2.0,0.0,0.6581391204081631
38,"Antwerp, Belgium",within an hour,100.0,78.0,f,host neighbourhood not available,2,"['email', 'phone']",t,"Antwerpen, Vlaams Gewest, Belgium",Entire townhouse,Entire home/apt,3.0,4,10,t,0,4,4,0,5.0,5.0,4.75,5.0,5.0,5.0,5.0,f,199.83561643835617,199.83561643835617,9.97113099197226,4.0,6.0,0.79,0,0,57,32.602739726027394,15.616438356164384,2 baths,33.305936073059364,1.5,0.0,4.989666591815019
39,"Antwerp, Belgium",within an hour,100.0,50.0,f,host neighbourhood not available,1,"['email', 'phone', 'work_email']",t,"Antwerpen, Vlaanderen, Belgium",Entire loft,Entire home/apt,1.0,14,1125,t,0,8,0,0,5.0,4.88,4.88,4.88,4.88,5.0,5.0,f,60.0,60.0,0.0,1.0,2.0,0.18,22,24,24,3.9452054794520546,6.575342465753424,1.5 baths,30.0,2.0,0.0,0.0
40,"Antwerp, Belgium",within an hour,100.0,100.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerp, Flanders, Belgium",Private room in townhouse,Private room,1.0,2,1125,t,10,436,54,3,4.6,4.76,4.9,4.76,4.72,4.54,4.6,f,37.24383561643835,37.24383561643835,1.8511198200787606,1.0,2.0,4.1,40,70,335,34.12054794520548,91.78082191780823,1 shared bath,18.621917808219177,2.0,0.0,4.970271695812474
41,"Antwerp, Belgium",within an hour,100.0,50.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerpen, Vlaams Gewest, Belgium",Private room in home,Private room,1.0,1,1125,t,29,124,5,0,4.44,4.45,4.34,4.77,4.7,4.39,4.42,f,37.13972602739726,37.13972602739726,1.808005680333282,5.0,5.0,1.35,59,89,364,37.04109589041096,99.72602739726028,2 shared baths,7.4279452054794515,1.0,0.0,4.868117979652169
42,"Antwerp, Belgium",within an hour,100.0,20.0,f,host neighbourhood not available,1,"['email', 'phone']",f,"Antwerp, Flanders, Belgium",Entire home,Entire home/apt,3.0,3,25,t,0,11,1,0,5.0,5.0,5.0,5.0,4.91,4.82,5.0,f,230.0,230.0,0.0,4.0,7.0,0.11,0,0,229,144.3013698630137,62.73972602739726,2 baths,32.857142857142854,1.75,0.0,0.0
43,"Antwerp, Belgium",response not available,95.51634665282823,88.03380009657171,f,host neighbourhood not available,1,"['email', 'phone', 'work_email']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,20,1125,t,0,11,0,0,4.7,5.0,4.7,5.0,4.9,4.7,4.3,f,54.69315068493151,54.69315068493151,15.829936939465394,1.0,2.0,0.11,0,0,0,0.0,0.0,1 bath,27.346575342465755,2.0,0.0,28.94317979714907
44,"Antwerp, Belgium",a few days or more,33.0,20.0,f,host neighbourhood not available,2,"['email', 'phone', 'work_email']",t,"Antwerpen, Vlaams Gewest, Belgium",Entire home,Entire home/apt,3.0,5,1125,t,1,27,1,0,4.58,4.64,4.85,4.8,4.92,4.48,4.6,f,100.21369863013699,100.21369863013699,1.1451420407713957,3.0,8.0,0.28,1,1,262,71.87123287671233,71.78082191780823,1.5 baths,12.526712328767124,2.6666666666666665,0.0,1.1427001062976636
